NUMPED;NUMITEM;CODPROD;QTDE;VALUNIT;UNID;ALIQICMS;COMISSAO;STICMS;CFOP;REDUCBASEICMS
555.020;4;456;1,0000;30,8600;Un;0,0000;0,0000;00;5102;0,0000
555.020;5;325;0,5100;57,1200;Kg;18,0000;0,0000;20;5102;33,3300
555.020;6;497;0,4000;64,9000;Kg;18,0000;0,0000;20;5102;33,3300
555.021;1;230;5,0000;26,9100;Kg;0,0000;0,0000;60;5405;0,0000
555.022;1;2.100;1,0000;7,0000;Un;0,0000;0,0000;00;5102;0,0000
555.023;1;2.336;1,0000;3,5000;Un;0,0000;0,0000;00;5102;0,0000
555.024;1;122;1,0320;37,9000;Kg;12,0000;0,0000;00;5102;0,0000
555.024;2;122;1,0160;37,9000;Kg;12,0000;0,0000;00;5102;0,0000
555.024;3;213;0,8040;25,9000;Kg;0,0000;0,0000;00;5102;0,0000
555.025;1;503;5,0000;44,2800;Kg;18,0000;0,0000;20;5102;61,1100
555.025;2;507;5,0000;20,7000;Kg;18,0000;0,0000;20;5102;61,1100
555.025;3;505;5,0000;21,2800;Kg;18,0000;0,0000;20;5102;61,1100
555.025;4;325;2,1500;57,1200;Kg;18,0000;0,0000;20;5102;33,3300
555.026;1;505;2,5500;21,2800;Kg;18,0000;0,0000;20;5102;61,1100
555.026;2;507;1,7000;20,7000;Kg;18,0000;0,0000;20;5102;61,1100
555.026;3;509;1,2000;8,2600;Kg;18,0000;0,0000;20;5102;61,1100
555.026;4;290;0,4100;25,0500;Kg;18,0000;0,0000;20;5102;33,3300
555.026;5;508;0,5500;7,8000;Kg;18,0000;0,0000;20;5102;61,1100
555.026;6;500;5,0000;37,8400;Kg;18,0000;0,0000;20;5102;61,1100
555.027;1;352;1,0000;17,4800;Un;18,0000;0,0000;00;5102;0,0000
555.027;2;302;1,0000;42,0600;Bd;18,0000;0,0000;20;5102;33,3300
555.027;3;213;3,4840;19,6800;Kg;0,0000;0,0000;00;5102;0,0000
555.027;4;122;4,1640;34,1600;Kg;12,0000;0,0000;00;5102;0,0000
555.028;1;170;15,0000;32,9400;Kg;12,0000;0,0000;00;5102;0,0000
555.029;1;445;2,0000;19,5500;Un;18,0000;0,0000;20;5102;33,3300
555.029;2;156;1,0000;34,9800;Un;18,0000;0,0000;20;5102;33,3300
555.029;3;160;1,9500;37,9500;Kg;12,0000;0,0000;00;5102;0,0000
555.030;1;456;1,0000;30,8600;Un;0,0000;0,0000;00;5102;0,0000
555.031;1;198;6,0000;10,6200;Un;18,0000;0,0000;20;5102;33,3300
555.031;2;155;5,0000;34,9800;Kg;18,0000;0,0000;20;5102;33,3300
555.033;1;411;1,0000;9,7000;Kg;18,0000;0,0000;20;5102;33,3300
555.033;2;122;1,9800;34,1600;Kg;12,0000;0,0000;00;5102;0,0000
555.033;3;305;1,0000;17,7000;Cx;18,0000;0,0000;20;5102;61,1100
555.033;4;198;1,0000;10,6200;Un;18,0000;0,0000;20;5102;33,3300
555.033;5;391;2,0000;2,7000;Lt;0,0000;0,0000;60;5405;0,0000
555.034;1;509;3,2000;8,2600;Kg;18,0000;0,0000;20;5102;61,1100
555.034;2;510;3,3500;16,8200;Kg;18,0000;0,0000;20;5102;61,1100
555.034;3;505;4,4200;21,2800;Kg;18,0000;0,0000;20;5102;61,1100
555.035;1;410;2,0000;9,7000;Kg;18,0000;0,0000;20;5102;33,3300
555.035;2;155;3,0000;34,9800;Kg;18,0000;0,0000;20;5102;33,3300
555.035;3;912;1,0000;44,0900;Cx;18,0000;0,0000;00;5102;0,0000
555.036;1;441;1,0000;11,5000;Bd;0,0000;0,0000;00;5102;0,0000
555.036;2;122;1,8960;34,1600;Kg;12,0000;0,0000;00;5102;0,0000
555.036;3;156;1,0000;34,9800;Un;18,0000;0,0000;20;5102;33,3300
555.036;4;114;1,2020;39,4400;Kg;18,0000;0,0000;20;5102;33,3300
555.036;5;140;1,5350;11,5000;Kg;18,0000;0,0000;20;5102;33,3300
555.036;6;106;0,6100;26,6000;Kg;18,0000;0,0000;20;5102;33,3300
555.036;7;2.100;1,0000;7,0000;Un;0,0000;0,0000;00;5102;0,0000
555.036;8;405;0,3400;53,4000;Kg;18,0000;0,0000;20;5102;33,3300
555.036;9;405;0,5680;53,4000;Kg;18,0000;0,0000;20;5102;33,3300
555.036;10;801;2,3200;44,8400;Kg;18,0000;0,0000;20;5102;33,3300
555.897;1;453;1,0000;28,5500;Un;0,0000;0,0000;00;5102;0,0000
555.897;2;456;1,0000;30,8600;Un;0,0000;0,0000;00;5102;0,0000
555.897;3;312;0,3500;22,4300;Kg;18,0000;0,0000;20;5102;33,3300
555.897;4;712;0,2000;25,8000;Kg;18,0000;0,0000;20;5102;61,1100
555.037;1;122;16,5500;34,1600;Kg;12,0000;0,0000;00;5102;0,0000
555.709;1;153;5,1480;66,9900;Kg;18,0000;3,0000;20;5102;33,3300
555.709;2;2.277;8,0000;9,5000;Un;12,0000;3,0000;00;5102;0,0000
555.709;3;314;1,0000;83,5200;Un;18,0000;3,0000;20;5102;33,3300
555.709;4;992;2,0000;5,3000;Lt;12,0000;2,0000;60;5405;0,0000
555.709;5;224;2,5000;20,7400;Kg;0,0000;3,0000;00;5102;0,0000
555.709;6;394;1,0000;60,8400;Un;18,0000;3,0000;20;5102;33,3300
555.709;7;181;3,7500;42,1200;Kg;18,0000;3,0000;20;5102;33,3300
555.709;8;194;1,2500;53,1800;Kg;12,0000;3,0000;00;5102;0,0000
555.709;9;602;2,0000;52,2800;Un;18,0000;3,0000;20;5102;33,3300
555.709;10;328;1,0000;52,4600;Un;18,0000;3,0000;20;5102;33,3300
555.709;11;290;1,1260;25,0500;Kg;18,0000;3,0000;20;5102;33,3300
555.038;1;121;4,0300;30,9400;Kg;18,0000;0,0000;20;5102;33,3300
555.038;2;469;1,0000;59,0000;Kg;18,0000;0,0000;00;5102;0,0000
555.038;3;114;1,0860;39,4400;Kg;18,0000;0,0000;20;5102;33,3300
555.038;4;117;1,3100;62,0000;Kg;18,0000;0,0000;20;5102;33,3300
555.038;5;108;1,0000;16,0000;Un;18,0000;0,0000;20;5102;33,3300
555.038;6;250;0,2060;74,9000;Kg;0,0000;0,0000;60;5405;0,0000
555.038;7;217;0,1980;41,5000;Kg;0,0000;0,0000;60;5405;0,0000
555.038;8;159;0,2120;45,9000;Kg;18,0000;0,0000;20;5102;33,3300
555.710;1;394;1,0000;60,8400;Un;18,0000;0,0000;20;5102;33,3300
555.710;2;194;1,1520;53,1800;Kg;12,0000;0,0000;00;5102;0,0000
555.039;1;213;6,9100;19,6800;Kg;0,0000;0,0000;00;5102;0,0000
555.039;2;992;72,0000;5,3000;Lt;12,0000;2,0000;60;5405;0,0000
555.784;1;1.307;0,2300;28,0000;Kg;18,0000;0,0000;20;5102;33,3300
555.784;2;156;1,0000;34,9800;Un;18,0000;0,0000;20;5102;33,3300
555.785;1;119;12,0000;33,1800;Un;0,0000;0,0000;60;5405;0,0000
555.040;1;684;5,0000;22,2300;Un;18,0000;0,0000;20;5102;33,3300
555.040;2;433;2,0000;16,8000;Un;18,0000;0,0000;20;5102;61,1100
555.040;3;450;2,0000;14,9000;Un;0,0000;0,0000;60;5405;0,0000
555.786;1;742;6,0000;11,5000;Un;18,0000;0,0000;60;5405;0,0000
555.786;2;110;0,7120;39,9000;Kg;12,0000;0,0000;00;5102;0,0000
555.786;3;1.947;0,1400;39,9000;Kg;18,0000;0,0000;20;5102;33,3300
555.786;4;1.947;0,1320;39,9000;Kg;18,0000;0,0000;20;5102;33,3300
555.786;5;108;4,0000;16,0000;Un;18,0000;0,0000;20;5102;33,3300
555.786;6;150;1,5680;38,2800;Kg;18,0000;0,0000;20;5102;33,3300
555.041;1;126;4,1400;11,6200;Kg;18,0000;0,0000;20;5102;33,3300
555.711;1;144;5,0000;44,3700;Un;18,0000;0,0000;00;5102;0,0000
555.711;2;435;2,0000;28,7500;Un;18,0000;0,0000;20;5102;12,0000
555.711;3;106;5,1500;28,6800;Kg;18,0000;0,0000;20;5102;33,3300
555.711;4;519;0,2880;18,0000;Kg;18,0000;0,0000;20;5102;33,3300
